0.472f03+0.466f07+0.439f01+0.392f06+0.391f02...,-0.733f04-0.639f05+0.141f07+0.125f01+0.112f03...,0.575f02+0.563f06-0.432f01-0.245f07-0.217f03...,class
-0.666074,-1.276865,0.415454,0
1.148741,0.858431,0.476449,0
1.584462,-0.497175,-1.476312,0
1.590441,1.165192,-0.671786,0
0.695376,0.762595,0.649308,0
0.431186,1.133578,-0.240365,0
1.081325,-0.230313,1.21933,0
2.698797,-1.568675,0.089279,0
1.052725,0.624923,-0.073026,0
0.444085,0.738898,0.01585,1
-4.020192,0.297528,-1.500503,1
0.24049,1.122771,-0.610955,0
-3.974056,-0.080419,-0.892612,1
-4.369509,0.479708,-0.018805,1
-0.038204,0.839247,-0.473023,0
2.794943,1.289663,0.206344,0
-4.512683,0.342138,-1.101894,1
0.096139,0.045594,1.28197,0
-0.428988,-0.991839,1.973468,0
-0.122413,-0.5153,1.25919,0
-2.422695,0.605883,1.186061,1
-1.292567,0.785792,-0.577121,0
0.614033,1.561827,0.560568,0
0.125919,-0.055509,-0.583964,0
-1.583108,0.671042,-0.164497,0
-0.902844,-2.747521,1.594448,0
1.196896,0.952091,0.732348,0
0.078006,-0.477544,0.231336,1
3.327028,-4.330018,-2.539902,0
4.469939,2.343172,-1.942458,1
-2.297507,-1.820752,-0.530704,0
1.286736,-0.479979,0.915161,0
2.034145,1.871495,-0.669575,0
1.837703,0.330244,0.493307,0
1.388043,0.474546,0.757584,0
-2.209432,0.020522,-0.858757,1
1.598935,0.531095,0.844392,0
-0.48037,-4.716529,0.657024,0
3.674971,1.713836,-1.557003,0
-0.656987,0.267053,0.303507,0
-5.236383,0.3882,-2.019789,0
-0.727243,0.052903,-0.325645,0
0.201134,0.173273,-0.773496,0
1.675215,1.950113,-0.929169,0
0.994934,0.507455,-0.284891,0
1.400633,-0.780934,0.781443,0
1.222869,-0.474715,1.066111,0
0.40508,1.530116,0.655077,0
0.842895,0.578351,-0.296725,0
2.361311,-0.866861,-0.154833,0
-1.120457,0.852211,-0.193509,0
-0.900858,-0.730771,-0.680649,0
0.754305,1.14188,-0.606547,0
0.664254,0.873389,0.413495,0
1.665651,-0.726615,-1.022651,0
0.263239,0.922221,-0.171897,0
-2.19421,0.645088,0.402323,1
0.743252,-0.918056,0.004201,0
-0.61931,-0.701387,1.192856,0
-1.694764,1.044492,0.74777,1
-0.22577,0.427488,-0.519298,0
-4.094533,-1.204047,-1.206231,1
-1.620302,1.029344,0.727904,0
2.07617,-0.220984,-0.676176,0
-2.424479,-2.142847,1.167449,1
0.466167,1.397166,-1.068042,0
3.360267,0.024266,-1.135876,0
-0.165976,1.076925,0.569233,1
1.247009,1.079478,0.837953,0
1.167316,-0.065228,0.048808,0
4.35154,-2.62006,-1.596039,0
3.163229,-0.398394,-1.254525,0
-4.328897,0.124619,-0.754262,1
-0.051583,0.813096,1.33403,0
-0.783804,0.502398,1.278121,1
-3.787425,0.655982,-1.339154,1
0.633671,1.163936,0.606527,0
1.146656,1.261275,0.489239,0
1.903038,-2.713371,-0.434427,0
3.217432,-2.874036,-0.24133,0
0.036631,0.194206,-0.146979,0
-3.731033,0.681942,-1.122169,1
2.106199,-2.110896,0.085834,0
0.25219,0.799853,0.382681,0
1.303921,1.337151,0.034071,0
1.295979,-0.694598,0.616266,0
0.585319,0.951243,0.656033,0
2.344949,1.400045,0.058177,0
-0.077485,0.342125,0.404666,0
-2.932931,0.444622,0.545036,1
-3.08623,0.441053,-0.51044,1
0.593946,0.730233,0.797291,0
-0.01082,1.238552,0.231753,0
0.236968,0.517982,-0.028135,0
-1.499897,-2.214826,2.169307,0
-0.679294,-0.068561,1.6775,0
-3.138328,-0.314175,-1.168388,0
0.318643,0.040783,1.229843,0
-3.136069,-0.730124,-1.654072,0
-0.803189,-2.952969,-1.35427,0
0.094115,0.090131,0.587828,0
0.278199,-2.072693,-0.256741,0
1.75785,-0.933681,-0.059485,0
-0.011942,-0.73866,0.235875,1
-2.647911,-2.278911,1.29205,0
-0.914487,1.082387,1.279969,0
